city,county,latitude,longitude,name,rank,scores_industry_income,scores_international_outlook,scores_overall,scores_research,scores_teaching,state,stats_female_male_ratio,stats_pc_intl_students,stats_student_staff_ratio,year
Bozeman,Gallatin,45.666829,-111.049918,Montana State University,501-600,43.3,26.2,27.6—32.5,20.7,18.7,MT,45 : 55,5%,18.6,2017
Omaha,Douglas,41.255088,-95.976346,University of Nebraska Medical Center,501-600,37.1,36.8,27.6—32.5,12.9,36.4,NE,66 : 34,8%,2.5,2017
Newark,Essex,40.741997,-74.177113,New Jersey Institute of Technology,501-600,47.6,55.1,27.6—32.5,17.8,21.3,NJ,24 : 76,21%,18.0,2017
Norfolk,Norfolk,36.884919,-76.309653,Old Dominion University,501-600,1.7,27.5,27.6—32.5,17.7,23.1,VA,54 : 46,3%,20.2,2017
Toledo,Lucas,41.657246,-83.615936,University of Toledo,501-600,44.3,38.8,27.6—32.5,14.1,32.8,OH,50 : 50,10%,16.5,2017
Milwaukee,Milwaukee,43.076848,-87.880488,University of Wisconsin-Milwaukee,501-600,34.0,28.2,27.6—32.5,17.8,21.1,WI,52 : 48,6%,18.2,2017
Auburn University,Lee,32.600201,-85.492409,Auburn University,601-800,40.0,30.9,18.6—27.5,18.3,31.7,AL,50 : 50,5%,17.6,2017
Clemson,Pickens,34.677329,-82.834463,Clemson University,601-800,38.8,35.6,18.6—27.5,22.0,23.5,SC,46 : 54,7%,17.0,2017
Melbourne,Brevard,28.064503,-80.624628,Florida Institute of Technology,601-800,36.6,60.6,18.6—27.5,13.4,25.5,FL,33 : 67,30%,14.0,2017
Hempstead,Nassau,40.715959,-73.60078,Hofstra University,601-800,32.1,26.6,18.6—27.5,4.8,35.8,NY,55 : 45,10%,14.2,2017
Greensboro,Guilford,36.067503,-79.809844,University of North Carolina at Greensboro,601-800,33.2,19.4,18.6—27.5,15.5,19.3,NC,66 : 34,3%,22.1,2017
Rochester Hills,Oakland,42.674569,-83.216414,Oakland University,601-800,33.5,24.5,18.6—27.5,11.8,17.4,MI,59 : 41,2%,20.4,2017
Rochester,Monroe,43.084436,-77.673854,Rochester Institute of Technology,601-800,33.7,33.8,18.6—27.5,16.2,19.8,NY,34 : 66,16%,14.1,2017
Lubbock,Lubbock,33.580451,-101.877129,Texas Tech University,601-800,33.6,41.1,18.6—27.5,16.6,27.7,TX,45 : 55,7%,20.2,2017
Hattiesburg,Forrest,31.327499,-89.33791,University of Southern Mississippi,801+,38.3,22.6,8.3—18.5,8.5,20.1,MS,63 : 37,3%,17.8,2017
Tempe,Maricopa,33.4172,-111.9355,Arizona State University (Tempe),131,36.6,49.7,57.2,48.9,38.5,AZ,44 : 56,16%,20.1,2017
Fort Collins,Larimer,39.7448,-104.9887,"Colorado State University, Fort Collins",301-350,43.6,35.1,40.7—43.3,32.6,29.6,CO,53 : 47,5%,16.4,2017
New York,New York,40.8075,-73.9619,Columbia University,16,44.9,75.3,86.1,78.9,86.9,NY,,30%,6.0,2017
Atlanta,Fulton,33.7756,-84.3963,Georgia Institute of Technology,=33,62.3,72.8,76.3,79.2,60.8,GA,31 : 69,26%,19.8,2017
Bloomington,Monroe,39.1678,-86.5235,Indiana University,150,35.2,47.0,55.0,40.2,46.4,IN,52 : 48,14%,14.2,2017
Kent,Portage,41.1516,-81.337,Kent State University,401-500,32.4,34.3,32.6—37.5,17.1,22.3,TX,59 : 41,8%,18.6,2017
Baton Rouge,East Baton Rouge,30.4127,-91.1807,Louisiana State University,501-600,32.1,29.7,27.6—32.5,20.2,31.1,LA,52 : 48,5%,19.9,2017
Columbia,Boone,38.941,-92.3264,Mizzou - University of Missouri,351-400,33.8,34.0,37.6—40.6,19.3,30.9,MO,53 : 47,6%,11.3,2017
Las Cruces,Doña Ana,32.2829,-106.7478,New Mexico State University (Main campus),401-500,36.9,33.0,32.6—37.5,21.0,19.8,NY,53 : 47,7%,17.8,2017
Raleigh,Wake,35.7851,-78.6744,North Carolina State University,201-250,42.0,50.2,46.3—50.4,32.7,37.5,NC,45 : 55,12%,13.1,2017
Boston,Suffolk,42.3395,-71.0878,"Northeastern University, US",=182,35.5,63.0,51.7,25.7,38.2,MA,50 : 50,28%,14.5,2017
Columbus,Franklin,39.9995,-83.0082,Ohio State University (Main campus),=72,50.6,54.6,64.2,53.1,57.0,OH,49 : 51,12%,12.8,2017
Athens,Athens,39.3237,-82.1035,Ohio University (Main campus),601-800,34.2,29.5,18.6—27.5,14.2,24.9,OH,57 : 43,6%,20.9,2017
Stillwater,Payne,36.123,-97.0696,Oklahoma State University,501-600,36.3,27.2,27.6—32.5,24.7,26.4,OK,49 : 51,7%,21.4,2017
Portland,Multnomah,45.4988,-122.686,Oregon Health and Science University,251-300,44.9,23.2,43.5—46.2,15.3,29.7,OR,65 : 35,2%,1.1,2017
West Lafayette,Tippecanoe,40.4281,-86.9143,Purdue University West Lafayette,70,62.5,67.7,64.5,66.8,57.2,IN,42 : 58,22%,17.7,2017
New Brunswick,Middlesex,40.4995,-74.447,Rutgers University – New Brunswick,141,36.6,35.6,56.2,49.8,47.7,NJ,52 : 48,8%,10.8,2017
Albany,Albany,42.6869,-73.8249,SUNY University at Albany,501-600,32.7,34.4,27.6—32.5,22.8,23.5,NY,52 : 48,8%,16.0,2017
St. Louis,St. Louis City,38.6365,-90.2333,Saint Louis University,301-350,33.9,28.9,40.7—43.3,11.9,36.0,MO,58 : 42,8%,5.7,2017
College Station,Brazos,30.6107,-96.3491,Texas A&M University,169,46.9,50.1,53.2,57.0,53.1,TX,47 : 53,9%,22.1,2017
Chicago,Cook,41.7901,-87.6009,The University of Chicago,=10,37.7,67.8,88.9,89.1,88.1,IL,42 : 58,24%,6.2,2017
Knoxville,Knox,35.9551,-83.92966,The University of Tennessee-Knoxville,251-300,42.1,39.5,43.5—46.2,21.5,30.5,TN,,4%,17.8,2017
New Orleans,Orleans,29.9397,-90.1203,Tulane University,351-400,35.5,37.9,37.6—40.6,15.7,41.4,LA,56 : 44,11%,11.8,2017
Berkeley,Alameda,37.8757,-122.2484,"University of California, Berkeley",=10,37.6,59.6,88.9,96.1,82.4,CA,52 : 48,16%,12.0,2017
Davis,Yolo,38.5381,-121.751,"University of California, Davis",=51,50.0,61.2,70.4,67.3,61.4,CA,55 : 45,15%,13.7,2017
Irvine,Orange,33.6431,-117.8378,"University of California, Irvine",=98,45.5,62.3,60.3,45.0,42.5,CA,53 : 47,18%,17.2,2017
Los Angeles,Los Angeles,34.0688,-118.4439,"University of California, Los Angeles",14,47.1,58.0,86.6,89.0,82.9,CA,53 : 47,16%,9.9,2017
Riverside,Riverside,33.9745,-117.3287,"University of California, Riverside",=165,40.5,62.2,53.4,33.7,32.0,CA,51 : 49,13%,22.6,2017
San Diego,San Diego,32.881,-117.2377,"University of California, San Diego",41,67.3,47.7,73.2,66.2,61.2,CA,47 : 53,14%,6.6,2017
Santa Barbara,Santa Barbara,34.4123,-119.8514,"University of California, Santa Barbara",48,87.6,63.3,71.2,62.6,52.2,CA,51 : 49,12%,27.4,2017
Santa Cruz,Santa Cruz,36.999,-122.0607,"University of California, Santa Cruz",146,40.9,48.7,55.6,35.3,34.7,CA,53 : 47,2%,24.5,2017
Honolulu,Honolulu,21.2972,-157.8162,University of Hawai’i at Mānoa,201-250,53.2,63.5,46.3—50.4,38.7,34.2,HI,56 : 44,13%,10.9,2017
Chicago,Cook,41.8718,-87.6505,University of Illinois Chicago,200,41.6,57.1,50.6,35.3,46.0,IL,53 : 47,18%,11.6,2017
Baltimore,Baltimore,39.2567,-76.7115,"University of Maryland, Baltimore County",401-500,33.4,29.6,32.6—37.5,18.7,21.3,MD,46 : 54,8%,17.8,2017
College Park,Prince George's,38.9886,-76.9396,"University of Maryland, College Park",67,38.5,36.7,65.3,63.2,51.0,MD,48 : 52,9%,16.8,2017
Amherst,Hampshire,42.3886,-72.5293,University of Massachusetts,=165,50.2,51.5,53.4,34.8,40.4,MA,49 : 51,13%,13.1,2017
Minneapolis,Hennepin,44.9778,-93.2353,University of Minnesota,53,94.2,38.2,70.3,69.8,60.3,MN,52 : 48,13%,17.5,2017
Missoula,Missoula,46.861,-113.9829,University of Montana,401-500,36.0,25.4,32.6—37.5,15.4,34.4,MT,55 : 45,4%,17.6,2017
Pittsburgh,Allegheny,40.4426,-79.9541,University of Pittsburgh-Pittsburgh campus,=80,39.6,35.4,62.2,51.9,49.2,PA,51 : 49,10%,5.9,2017
Arlington,Tarrant,32.7291,-97.1151,University of Texas at Arlington,501-600,40.7,36.3,27.6—32.5,17.4,20.0,TX,58 : 42,11%,24.1,2017
Austin,Travis,30.2838,-97.7364,University of Texas at Austin,50,51.3,35.7,70.8,65.9,63.9,TX,51 : 49,10%,17.2,2017
Richardson,Dallas,32.9894,-96.7487,University of Texas at Dallas,201-250,43.3,53.1,46.3—50.4,32.5,26.9,TX,44 : 56,25%,25.0,2017
El Paso,El Paso,31.7717,-106.5035,University of Texas at El Paso,601-800,32.1,33.0,18.6—27.5,20.9,20.7,TX,53 : 47,7%,24.3,2017
Charlottesville,Albemarle,38.0339,-78.5118,University of Virginia (Main campus),=121,41.9,44.6,58.1,38.6,53.7,VA,53 : 47,12%,10.0,2017
Seattle,King,47.6557,-122.3108,University of Washington,=25,49.8,55.0,80.2,80.4,70.2,WA,53 : 47,15%,11.9,2017
Williamsburg,James City,37.2732,-76.7196,William & Mary,251-300,32.7,28.8,43.5—46.2,16.8,40.8,VA,55 : 45,8%,11.9,2017
